Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
51,2.0,0.0,0.0,1120.0,11.0,39.0,3042.0,0.1,33.00499999999999,0.0,0.0,450.13651752471924,,,,,,,,,,,,,,,,,,,,,15.068942068802217,10.662388616743618,32.48224326360065,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,1203.0,12.0,83.0,3125.0,0.1,76.00600000000003,0.0,0.0,457.6280155181885,,,,,,,,,,,,,,,,,,,,,35.2746247422385,22.81561874610848,73.2245820859841,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,1291.0,13.0,88.0,3213.0,0.1,77.01000000000005,0.0,0.0,465.5789771080017,,,,,,,,,,,,,,,,,,,,,34.12730311396461,23.75271447768298,74.15503323741271,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,1326.0,14.0,35.0,3248.0,0.1,26.00800000000001,0.0,0.0,468.9487998485565,,,,,,,,,,,,,,,,,,,,,10.685501464240314,8.868737436768068,25.6853524683358,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,1352.0,15.0,26.0,3274.0,0.1,18.00700000000001,0.0,0.0,471.5673484802246,,,,,,,,,,,,,,,,,,,,,7.231694506719734,6.333190086577618,17.854667423003875,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,1415.0,16.0,63.0,3337.0,0.1,51.010999999999974,0.0,0.0,477.5881140232086,,,,,,,,,,,,,,,,,,,,,21.499747269316597,16.537335708404775,49.75597812229954,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1450.0,17.0,35.0,3372.0,0.1,24.010000000000012,0.0,0.0,480.9632685184479,,,,,,,,,,,,,,,,,,,,,9.191868231287762,8.326753014401241,23.7357323408543,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1510.0,18.0,60.0,3432.0,0.1,50.00899999999998,0.0,0.0,486.57362818717957,,,,,,,,,,,,,,,,,,,,,21.727641734669405,16.047267045029194,48.80289849000136,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1614.0,19.0,104.0,3536.0,0.1,90.01300000000006,0.0,0.0,495.8230583667755,,,,,,,,,,,,,,,,,,,,,39.07095905621118,27.725323474377543,86.12177769175987,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1676.0,20.0,62.0,3598.0,0.1,55.005999999999986,0.0,0.0,501.47366857528687,,,,,,,,,,,,,,,,,,,,,25.265767834905475,17.04969373493702,53.54656197161712,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
